incident_id,company_name,company_revenue_usd,country_hq,industry_primary,industry_secondary,employee_count,is_public_company,stock_ticker,incident_date,incident_date_estimated,discovery_date,disclosure_date,attack_vector_primary,attack_vector_secondary,attack_chain,attributed_group,attribution_confidence,data_compromised_records,data_type,systems_affected,downtime_hours,data_source_primary,data_source_secondary,data_source_type,confidence_tier,quality_score,quality_grade,review_flag,direct_loss_usd,direct_loss_method,ransom_demanded_usd,ransom_paid_usd,ransom_source,recovery_cost_usd,legal_fees_usd,regulatory_fine_usd,insurance_payout_usd,total_loss_usd,total_loss_method,total_loss_lower_bound,total_loss_upper_bound,inflation_adjusted_usd,cpi_index_used,price_7d_before,price_disclosure_day,price_1d_after,price_7d_after,price_30d_after,volume_avg_30d_baseline,volume_disclosure_day,sector_index,sector_return_same_period,abnormal_return_1d,abnormal_return_7d,abnormal_return_30d,car_neg1_to_pos1,car_0_to_7,car_0_to_30,car_0_to_90,t_statistic_1d,p_value_1d,t_statistic_30d,p_value_30d,earnings_announcement_within_7d,market_cap_at_disclosure,volume_ratio_disclosure,pre_incident_volatility_30d,post_incident_volatility_30d,days_to_price_recovery,industry_name
2023-0607-001,Zimmer Insurance Pty Ltd.,1288786592.98,AU,52,71,4831,False,,2023-06-07,True,2023-06-08,2023-07-23,ransomware,,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,APT28,suspected,3817.0,PII,"SCADA,SSO,website,customer_database",809.29,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001657286&type=8-K&dateb=20230715&owner=include&count=10,,sec_filing,1,94.55,Gold,,1168198.29,disclosed,1750339.43,,,740294.98,370372.2,,,2278865.47,estimated,1903417.28,3605850.85,2404497.67,CPI-U 2023 (304.702),,,,,,,,,,,,,,,,,,,,,,,,,,,Finance & Insurance
2024-1224-001,Frontier Orbit Partners Inc.,84444966558.55,US,52,,198753,False,,2024-12-24,False,2025-02-23,2025-03-18,data_breach,,Misconfigured cloud storage bucket discovered by automated scanner → bulk data download over 72 hours → data posted to dark web marketplace,,,950371.0,IP,"email,HR_systems,file_servers",,https://www.theregister.com/2024/12/11/frontier-orbit-partn_security_incident/,https://www.mandiant.com/resources/blog/frontier-orbit-partn-incident-response-2024,verified_media,4,68.74,Bronze,,8635502.88,estimated,,,,9351151.62,2701791.53,,,20688446.03,disclosed,12577260.16,30487555.11,21136151.13,CPI-U 2024 (314.69),,,,,,,,,,,,,,,,,,,,,,,,,,,Finance & Insurance
2025-0828-001,Lambert Investments Co.,83698192457.46,US,52,,370679,True,LAMB,2025-08-28,False,2025-09-01,2025-12-07,supply_chain,backdoor,Compromised third-party software update → trojanized DLL sideloaded → C2 beacon established → persistent access across customer environments,,,,,active_directory,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001803533&type=8-K&dateb=20250613&owner=include&count=10,https://www.mandiant.com/resources/blog/lambert-investments--incident-response-2025,sec_filing,1,83.75,Silver,,4219506.44,calculated,,,,1511428.58,645448.34,,,6376383.36,calculated,4981594.27,10043108.41,6376383.36,CPI-U 2025 (321.5),357.85,348.02,329.08,335.89,353.0,297646.0,729377.0,S&P 500 Financials,0.008642,-0.054431,-0.034865,0.014299,-0.0636,-0.034865,0.014299,0.011003,-3.2344,0.3828,0.5224,1.0,False,356055476699.05,2.4505,0.033138,0.060237,55.0,Finance & Insurance
2024-0224-001,Aldridge Security Holdings Co. Ltd.,561014195.46,JP,51,,973,False,,2024-02-24,True,2024-03-06,2024-05-10,ransomware,,,Akira,confirmed,54730.0,mixed,"CRM,ERP,payment_systems,backup_systems,SCADA",208.5,https://unit42.paloaltonetworks.com/threat-brief-aldridge-security-ho-2024/,https://www.ico.org.uk/decisions/2024/12/INQ-2024-00129,cybersecurity_firm,3,97.98,Gold,,9812198.17,estimated,343934.77,,,6845925.2,1910754.03,,10253348.27,18568877.4,estimated,12049600.18,29214502.02,18970714.3,CPI-U 2024 (314.69),,,,,,,,,,,,,,,,,,,,,,,,,,,Information/Tech
2021-0317-001,Okonkwo Retail Holdings PLC,20153961059.2,GB,44-45,,219647,True,OKON.L,2021-03-17,False,2021-03-27,2021-04-28,apt,ddos,Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,Scattered_Spider,suspected,1000.0,mixed,"website,email,ERP,backup_systems",19.97,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001813537&type=8-K&dateb=20211213&owner=include&count=10,,sec_filing,1,79.81,Silver,,42445466.2,disclosed,,,,15890448.89,8351804.75,,10770959.08,66687719.84,disclosed,49565346.16,101512705.18,79123526.33,CPI-U 2021 (270.97),137.05,135.14,126.31,124.28,135.73,1980745.0,5390415.0,S&P 500 Consumer Discretionary,0.019761,-0.065307,-0.080396,0.00437,-0.06919,-0.080396,0.00437,0.01165,-4.1753,0.0002,0.2729,1.0,False,128872957005.83,2.7214,0.03897,0.074349,16.0,Retail Trade
2021-0817-001,Mantis Mart Retail Corp.,2964964626.61,US,44-45,62,34495,False,,2021-08-17,False,2021-10-16,2021-10-26,ransomware,supply_chain,,BlackCat/ALPHV,suspected,4814.0,mixed,"backup_systems,VPN,payment_systems,HR_systems,manufacturing_OT",91.87,https://www.crowdstrike.com/blog/mantis-mart-retail-c-intrusion-analysis-2021/,,cybersecurity_firm,3,70.67,Silver,,2497978.75,calculated,497045.17,,,1355052.85,599354.91,,,4452386.51,estimated,3298820.09,6994927.27,5282659.57,CPI-U 2021 (270.97),,,,,,,,,,,,,,,,,,,,,,,,,,,Retail Trade
2023-0618-001,SignalProto Labs Holdings Co. Ltd.,1679705893.91,JP,51,61,4652,False,,2023-06-18,False,2023-07-20,2023-09-22,ransomware,,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,Lazarus_Group,probable,29072.0,mixed,"SCADA,SSO,VPN",66.62,https://www.bleepingcomputer.com/news/security/signalproto-labs-holdings-hit-by-cyberattack-2023/,,verified_media,4,99.2,Gold,,101556166.1,calculated,1826848.3,975203.63,blockchain analysis,90568463.4,9424518.11,,122787937.36,202524351.24,calculated,153877672.46,281629948.41,213689371.66,CPI-U 2023 (304.702),,,,,,,,,,,,,,,,,,,,,,,,,,,Information/Tech
2023-0823-001,Limerick Innovations DAC,37943169.83,IE,51,,97,False,,2023-08-23,False,2023-08-26,2023-10-18,trojan,,Drive-by download from compromised ad network → remote access trojan deployment → keylogger activation → credential theft → lateral movement to file servers,,,,,payment_systems,,https://www.limerick-innovations-dac.com/newsroom/2023/02/security-update,https://www.aepd.es/decisions/2023/02/INQ-2023-00133,company_pr,1,78.26,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Information/Tech
2023-0918-001,Brooks Shipping Co.,1256819153.77,US,48-49,,5418,False,,2023-09-18,False,2023-12-18,2024-01-09,data_breach,,Misconfigured cloud storage bucket discovered by automated scanner → bulk data download over 72 hours → data posted to dark web marketplace,Conti,suspected,,,"CRM,manufacturing_OT,backup_systems,file_servers",,https://www.aepd.es/decisions/2023/12/INQ-2023-00134,,gdpr_notification,1,91.73,Gold,,7872549.84,calculated,,,,3196876.07,1100215.59,,6316200.45,12169641.5,estimated,9032435.53,15715279.65,12840545.0,CPI-U 2023 (304.702),,,,,,,,,,,,,,,,,,,,,,,,,,,Transportation/Warehousing
2024-0119-001,Bordeaux Pharmaceuticals SA,49602479.2,FR,62,31-33,364,False,,2024-01-19,False,2024-04-22,2024-06-06,malware,,Trojanized installer via SEO-poisoned download → fileless PowerShell execution → registry run-key persistence → credential dumping via LSASS → data staged for exfil,Conti,probable,45596.0,financial,"active_directory,ERP",,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001493563&type=8-K&dateb=20240508&owner=include&count=10,https://www.crowdstrike.com/blog/bordeaux-pharmaceuti-intrusion-analysis-2024/,sec_filing,1,74.02,Silver,,691577.24,disclosed,,,,469546.5,103296.78,106944.04,620663.88,1371364.56,calculated,866508.35,2246581.0,1401041.36,CPI-U 2024 (314.69),,,,,,,,,,,,,,,,,,,,,,,,,,,Healthcare
2024-0718-002,Forge Jasper Pharmaceuticals PLC,117666689.77,GB,62,31-33,615,True,FJP.L,2024-07-18,False,2024-07-19,2024-09-04,ransomware,,,Rhysida,suspected,72588.0,IP,"cloud_infrastructure,ERP,VPN",133.52,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001120607&type=8-K&dateb=20240525&owner=include&count=10,,sec_filing,1,54.92,Bronze,low_quality_score,14400000.0,disclosed,3398573.15,764468.86,blockchain analysis,16361114.38,2561628.86,,5847397.77,34087212.1,estimated,23923233.69,45990121.1,34824871.11,CPI-U 2024 (314.69),7.83,7.58,7.0,6.8,7.32,726044.0,1264926.0,S&P 500 Health Care,-0.014962,-0.076351,-0.102662,-0.034793,-0.061602,-0.102662,-0.034793,-0.009397,-6.951,0.0002,-1.1053,1.0,False,452899355.22,1.7422,0.033364,0.052581,220.0,Healthcare
2023-0220-001,Ember Sequoia Retail Inc.,3109876651.3,US,44-45,,18523,False,,2023-02-20,False,2023-02-25,2023-03-31,data_breach,,Misconfigured cloud storage bucket discovered by automated scanner → bulk data download over 72 hours → data posted to dark web marketplace,,,185765.0,PII,"file_servers,backup_systems,cloud_infrastructure,HR_systems,ERP",,https://www.theregister.com/2023/02/16/ember-sequoia-retail_security_incident/,,verified_media,4,65.74,Bronze,,29758054.48,disclosed,,,,13857126.91,2916316.62,48111084.09,,94642582.1,estimated,67561577.01,152378353.66,99860158.93,CPI-U 2023 (304.702),,,,,,,,,,,,,,,,,,,,,,,,,,,Retail Trade
2022-0127-001,LinkStream Technologies Ltd.,386002286.79,AU,51,,1022,False,,2022-01-27,False,2022-02-27,2022-05-31,phishing,data_breach,Spear-phishing campaign targeting finance team → credential harvesting through cloned SSO portal → email account compromise → BEC wire transfer or data exfiltration,,,1146019.0,mixed,"CRM,customer_database,active_directory",,https://www.bleepingcomputer.com/news/security/linkstream-technologies-l-hit-by-cyberattack-2022/,,verified_media,4,90.33,Gold,,46320274.41,calculated,,,,38211219.9,12357353.3,,,96888847.61,estimated,64366777.78,150860709.12,106438518.07,CPI-U 2022 (292.655),,,,,,,,,,,,,,,,,,,,,,,,,,,Information/Tech
2023-0824-001,Baltic Scope Communications Ltd.,3393197926.28,IN,51,,8648,False,,2023-08-24,False,2023-08-26,2023-09-09,apt,phishing,Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,Hive,suspected,101695.0,financial,"ERP,CRM,manufacturing_OT,customer_database",269.96,https://www.baltic-scope-communicatio.com/newsroom/2023/01/security-update,,company_pr,2,79.6,Silver,,20682990.58,disclosed,,,,12380438.73,1992888.81,2748599.31,19717862.6,37804917.43,estimated,23654681.55,50767468.25,39889075.08,CPI-U 2023 (304.702),,,,,,,,,,,,,,,,,,,,,,,,,,,Information/Tech
2022-0425-001,Fox Indigo Office Co.,1259513234.94,BE,92,,14843,False,,2022-04-25,False,2022-04-28,2022-05-17,supply_chain,ddos,,,,,,"customer_database,ERP,website,SSO",,https://www.cnil.fr/decisions/2022/06/INQ-2022-00140,,gdpr_notification,1,67.82,Bronze,,15610626.26,estimated,,,,8920027.21,4609330.31,,17720524.69,29139983.78,calculated,22304703.13,51180686.33,32012112.51,CPI-U 2022 (292.655),,,,,,,,,,,,,,,,,,,,,,,,,,,Public Administration/Government
2021-0102-001,Bravo Eagle Products Holdings Inc.,215021949.95,US,31-33,,1379,True,BEP,2021-01-02,False,2021-04-03,2021-05-20,malware,,,,,216824.0,PII,"customer_database,ERP,file_servers",,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001444420&type=8-K&dateb=20210616&owner=include&count=10,,sec_filing,1,61.97,Bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manufacturing
2023-1009-001,Sierra Node Ventures SA,48578250641.23,CH,51,,121295,True,SNV.SW,2023-10-09,False,2023-10-27,2023-11-18,data_breach,,Misconfigured cloud storage bucket discovered by automated scanner → bulk data download over 72 hours → data posted to dark web marketplace,FIN11,suspected,73464.0,financial,file_servers,,https://www.mandiant.com/resources/blog/sierra-node-ventures-incident-response-2023,,cybersecurity_firm,3,82.66,Silver,,87100000.0,estimated,,,,42649702.33,10223463.41,,69691291.07,139973165.74,estimated,88990619.87,227666772.3,147689784.73,CPI-U 2023 (304.702),296.79,284.88,275.09,276.06,277.76,5178516.0,17677093.0,S&P 500 Information Technology,-0.019376,-0.034364,-0.030956,-0.024987,-0.035563,-0.030956,-0.024987,-0.008849,-2.0099,0.99505,-0.8751,1.0,False,301021116573.58,3.4135,0.023319,0.039184,36.0,Information/Tech
2023-1230-001,Newcastle Analytics Pty Ltd.,622598311.4,AU,51,,1593,True,NEWC.AX,2023-12-30,False,2024-01-07,2024-01-15,phishing,,Spear-phishing campaign targeting finance team → credential harvesting through cloned SSO portal → email account compromise → BEC wire transfer or data exfiltration,Sandworm,confirmed,24550.0,mixed,"SSO,ERP,CRM,cloud_infrastructure,VPN",,https://www.bfdi.bund.de/decisions/2023/11/INQ-2023-00143,https://www.crowdstrike.com/blog/newcastle-analytics--intrusion-analysis-2023/,gdpr_notification,1,86.57,Gold,,1472901.06,disclosed,,,,456421.57,475608.74,351407.78,,2756339.15,estimated,1684725.85,4937212.8,2908294.13,CPI-U 2023 (304.702),8.64,8.06,7.94,7.76,7.8,2001524.0,6134434.0,S&P 500 Information Technology,0.023441,-0.014891,-0.03737,-0.032656,-0.019007,-0.03737,-0.032656,-0.026464,-1.0752,1.0,-2.0417,0.97915,False,3841807928.89,3.0649,0.039802,0.061751,341.0,Information/Tech
2023-0309-001,FreshDeal Distribution Group Inc.,101768528.34,US,44-45,,654,False,,2023-03-09,False,2023-03-18,2023-04-23,ransomware,,,Sandworm,suspected,,,"ERP,VPN,email,customer_database",2.83,https://www.bleepingcomputer.com/news/security/freshdeal-distribution-gr-hit-by-cyberattack-2023/,,verified_media,4,89.43,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retail Trade
2025-0907-001,Beacon Keystone Consulting Co.,36563845.84,US,54,,193,False,,2025-09-07,False,2025-09-09,2025-10-02,apt,supply_chain,Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,,,559177.0,health,SCADA,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001861127&type=8-K&dateb=20250423&owner=include&count=10,,sec_filing,1,86.58,Gold,,12066069.13,estimated,,,,8707356.05,2540326.57,,5598486.94,23313751.75,estimated,14619752.58,41351748.22,23313751.75,CPI-U 2025 (321.5),,,,,,,,,,,,,,,,,,,,,,,,,,,Professional/Scientific Services
2023-0203-001,Pittsburgh Works Inc.,6795850282.82,US,31-33,,33318,True,PITT,2023-02-03,False,2023-02-14,2023-03-07,ransomware,,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,,,218135.0,PII,"VPN,active_directory,email,file_servers,SSO",,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001716881&type=8-K&dateb=20230125&owner=include&count=10,https://www.mandiant.com/resources/blog/pittsburgh-works-inc-incident-response-2023,sec_filing,1,89.11,Gold,,,,,,,,,,,,,,,,,72.37,71.54,68.0,66.81,67.74,73310.0,215987.0,S&P 500 Industrials,0.024689,-0.049425,-0.066141,-0.053122,-0.043114,-0.066141,-0.053122,-0.02769,-3.5094,0.2453,-10.3555,0.0002,False,42578197299.8,2.9462,0.010426,0.019881,105.0,Manufacturing
2025-1212-001,Quartz Pacific Genomics SA,197106682.24,FR,62,,2426,False,,2025-12-12,False,2025-12-30,2026-02-20,apt,,Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,,,3364858.0,PII,"SCADA,active_directory",26.08,https://unit42.paloaltonetworks.com/threat-brief-quartz-pacific-genom-2025/,https://www.quartz-pacific-genomics-s.com/newsroom/2025/09/security-update,cybersecurity_firm,3,79.67,Silver,,10741328.46,disclosed,,,,4922024.98,1917489.15,1244249.43,10065837.66,18825092.02,disclosed,14535562.58,27002163.93,18825092.02,CPI-U 2025 (321.5),,,,,,,,,,,,,,,,,,,,,,,,,,,Healthcare
2025-0220-001,SparkAmp Power Corp.,1883762059.25,JP,22,,4166,True,SPAR.T,2025-02-20,False,2025-08-19,2025-08-22,supply_chain,,Compromised third-party software update → trojanized DLL sideloaded → C2 beacon established → persistent access across customer environments,,,,,HR_systems,64.9,https://www.ico.org.uk/decisions/2025/07/INQ-2025-00148,,gdpr_notification,1,71.71,Silver,,4800000.0,estimated,,,,4829623.93,809964.32,,,10439588.25,estimated,7588434.43,13821450.5,10439588.25,CPI-U 2025 (321.5),14.89,15.05,14.47,14.42,14.52,8426981.0,32431061.0,S&P 500 Utilities,-0.017421,-0.038499,-0.04157,-0.03521,-0.038314,-0.04157,-0.03521,-0.032384,-2.2807,0.85965,-1.9507,1.0,False,5653738417.22,3.8485,0.031301,0.03799,90.0,Utilities
2025-1118-001,Eriksson Health Holdings Inc.,436944048.87,US,62,,4880,True,ERIK,2025-11-18,False,2026-02-20,2026-03-04,ransomware,ddos,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,,,227736.0,IP,SCADA,96.91,https://www.eriksson-health-holdings-.com/newsroom/2025/06/security-update,https://www.aepd.es/decisions/2025/05/INQ-2025-00149,company_pr,2,82.03,Silver,,2614493.96,disclosed,727441.52,,,1757908.91,512323.66,,1758274.7,4884726.53,estimated,4017337.73,7629008.24,4884726.53,CPI-U 2025 (321.5),13.83,13.17,12.14,12.04,11.86,680928.0,2260244.0,S&P 500 Health Care,-0.009152,-0.078387,-0.085559,-0.09956,-0.099546,-0.085559,-0.09956,-0.049254,-4.0342,0.0002,-5.5761,0.0002,False,2221743056.12,3.3194,0.01883,0.033342,283.0,Healthcare
2025-0509-001,Walsh Labs Group Inc.,47043518396.06,US,62,,438475,True,WALS,2025-05-09,False,2025-05-15,2025-07-03,apt,phishing,Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,Vice_Society,probable,,,"SSO,file_servers,SCADA",40.41,https://www.walsh-labs-group-inc.com/newsroom/2025/02/security-update,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001615377&type=8-K&dateb=20250909&owner=include&count=10,company_pr,2,83.07,Silver,,110263729.37,disclosed,,,,57423843.02,12631289.01,,55398723.2,180318861.4,estimated,108625569.72,288039558.48,180318861.4,CPI-U 2025 (321.5),,,,,,,,,,,,,,,,,,,,,,,,,,,Healthcare
2025-1210-001,Sendai Communications Holdings Co. Ltd.,189416510.56,JP,51,,633,True,SEN1.T,2025-12-10,False,2025-12-16,2026-01-05,trojan,,Drive-by download from compromised ad network → remote access trojan deployment → keylogger activation → credential theft → lateral movement to file servers,,,813937.0,PII,"website,SCADA,email,payment_systems",,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001955927&type=8-K&dateb=20251001&owner=include&count=10,,sec_filing,1,99.5,Gold,,977996.63,estimated,,,,906418.27,182273.65,,,2066688.55,estimated,1302743.82,2878977.66,2066688.55,CPI-U 2025 (321.5),,,,,,,,,,,,,,,,,,,,,,,,,,,Information/Tech
2025-1219-001,Monroe Group SAS,2311636729.32,FR,72,,26070,True,MONR.PA,2025-12-19,True,2026-03-21,2026-05-20,ransomware,,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,Sandworm,suspected,51025.0,credentials,"cloud_infrastructure,ERP,customer_database,file_servers,VPN",39.54,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001693390&type=8-K&dateb=20251016&owner=include&count=10,,sec_filing,1,96.59,Gold,,1800000.0,disclosed,46370456.39,,,661733.93,357087.11,1664339.81,1110115.96,4483160.85,calculated,3071469.69,7527662.03,4483160.85,CPI-U 2025 (321.5),34.09,32.91,32.23,32.13,31.96,1774448.0,4437028.0,S&P 500 Consumer Discretionary,0.002622,-0.020654,-0.023613,-0.028905,-0.017232,-0.023613,-0.028905,-0.009782,-0.9716,1.0,-1.7154,1.0,False,5001037143.19,2.5005,0.023829,0.02851,86.0,Accommodation/Food Services
2022-0115-001,Horizon Current Power Corp.,289070432.92,US,22,,1006,False,,2022-01-15,False,2022-02-02,2022-02-20,ransomware,,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,BlackBasta,suspected,394094.0,PII,"website,payment_systems,backup_systems,active_directory",16.86,https://www.mandiant.com/resources/blog/horizon-current-powe-incident-response-2022,,cybersecurity_firm,3,54.37,Bronze,low_quality_score,18000000.0,disclosed,159387.06,,,10065253.84,916777.1,11721197.59,,40703228.53,disclosed,33097463.33,65009501.25,44715067.14,CPI-U 2022 (292.655),,,,,,,,,,,,,,,,,,,,,,,,,,,Utilities
2022-0620-001,Harbor Granite Assurance AG,67581877.51,DE,52,,158,False,,2022-06-20,False,2022-09-19,2022-12-28,phishing,,Spear-phishing campaign targeting finance team → credential harvesting through cloned SSO portal → email account compromise → BEC wire transfer or data exfiltration,REvil,probable,115134.0,PII,"SCADA,email,cloud_infrastructure,website",,https://www.cnil.fr/decisions/2022/01/INQ-2022-00154,,gdpr_notification,1,72.49,Silver,,2753289.72,calculated,,,,2916635.26,537735.25,,2916980.51,6207660.23,disclosed,3954124.98,8794437.66,6819506.8,CPI-U 2022 (292.655),,,,,,,,,,,,,,,,,,,,,,,,,,,Finance & Insurance
2023-0116-001,ProPremier Partners Ltd.,511812112.08,SG,54,,1843,False,,2023-01-16,False,2023-01-28,2023-03-05,malware,,Trojanized installer via SEO-poisoned download → fileless PowerShell execution → registry run-key persistence → credential dumping via LSASS → data staged for exfil,,,8880469.0,credentials,"backup_systems,manufacturing_OT,customer_database,payment_systems",,https://www.aepd.es/decisions/2023/06/INQ-2023-00155,https://www.mandiant.com/resources/blog/propremier-partners--incident-response-2023,gdpr_notification,1,80.46,Silver,,14758259.32,disclosed,,,,4538185.27,4843216.62,1936541.59,10357614.68,26076202.8,disclosed,16705763.8,38239085.62,27513764.93,CPI-U 2023 (304.702),,,,,,,,,,,,,,,,,,,,,,,,,,,Professional/Scientific Services
2022-0629-001,Atlanta Engineering Corp.,5440226346.48,PT,31-33,,18223,True,ATLA.LS,2022-06-29,False,2022-10-01,2022-11-08,ransomware,supply_chain,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,,,19879.0,mixed,cloud_infrastructure,,https://www.bfdi.bund.de/decisions/2022/11/INQ-2022-00156,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001626040&type=8-K&dateb=20220510&owner=include&count=10,gdpr_notification,1,93.46,Gold,,5728372.4,estimated,1012754.28,,,4957831.53,1224435.03,,,11910638.96,estimated,8447301.52,14770340.72,13084589.11,CPI-U 2022 (292.655),,,,,,,,,,,,,,,,,,,,,,,,,,,Manufacturing
2023-0313-001,Haifa Therapeutics Ltd.,18764843673.93,IL,62,,109966,True,HAIF.TA,2023-03-13,False,2023-04-14,2023-06-07,phishing,supply_chain,Spear-phishing campaign targeting finance team → credential harvesting through cloned SSO portal → email account compromise → BEC wire transfer or data exfiltration,,,15655.0,mixed,ERP,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001349682&type=8-K&dateb=20231104&owner=include&count=10,,sec_filing,1,61.25,Bronze,,8992533.3,estimated,,,,6876029.32,1965900.65,,10656558.54,17834463.27,estimated,13552712.4,22303852.38,18817664.28,CPI-U 2023 (304.702),,,,,,,,,,,,,,,,,,,,,,,,,,,Healthcare
2025-1116-001,RemedyCella Medical SA,77492399.37,FR,62,51,415,False,,2025-11-16,False,2025-12-16,2025-12-21,phishing,trojan,Spear-phishing campaign targeting finance team → credential harvesting through cloned SSO portal → email account compromise → BEC wire transfer or data exfiltration,Conti,suspected,5203.0,PII,"SSO,website",,https://www.theregister.com/2025/10/22/remedycella-medical-_security_incident/,,verified_media,4,76.44,Silver,,93158.99,estimated,,,,67870.29,12763.79,,,173793.07,estimated,125694.28,275289.05,173793.07,CPI-U 2025 (321.5),,,,,,,,,,,,,,,,,,,,,,,,,,,Healthcare
2021-0802-001,SmartQuick Trading Holdings Inc.,53013440.4,CA,44-45,,357,False,,2021-08-02,False,2021-10-02,2021-10-10,ransomware,,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,Turla,unknown,11469312.0,mixed,"payment_systems,email,customer_database,file_servers",140.01,https://www.bleepingcomputer.com/news/security/smartquick-trading-holdin-hit-by-cyberattack-2021/,https://www.aepd.es/decisions/2021/06/INQ-2021-00159,verified_media,4,81.72,Silver,large_breach_verify,14313628.91,estimated,6311489.88,,,14282971.96,2971941.24,262529.37,5444454.92,31831071.48,disclosed,25878909.27,39899190.94,37766872.65,CPI-U 2021 (270.97),,,,,,,,,,,,,,,,,,,,,,,,,,,Retail Trade
2025-0202-001,Valor Consult Advisory Holdings Inc.,36280230.44,US,54,,125,False,,2025-02-02,False,2025-02-05,2025-02-09,phishing,,Spear-phishing campaign targeting finance team → credential harvesting through cloned SSO portal → email account compromise → BEC wire transfer or data exfiltration,Hive,probable,253301.0,financial,"manufacturing_OT,website,SSO,payment_systems,cloud_infrastructure",,https://www.valor-consult-advisory-ho.com/newsroom/2025/05/security-update,https://www.aepd.es/decisions/2025/07/INQ-2025-00160,company_pr,2,93.73,Gold,,4353627.65,estimated,,,,3447736.82,311674.18,1508240.18,,9621278.83,estimated,7144689.67,14027116.08,9621278.83,CPI-U 2025 (321.5),,,,,,,,,,,,,,,,,,,,,,,,,,,Professional/Scientific Services
2024-0311-001,Harrington Stores Group PLC,63514125551.35,GB,44-45,,388347,True,HARR.L,2024-03-11,False,2024-05-13,2024-06-02,ddos,,Multi-vector botnet activation → volumetric UDP reflection (900 Gbps peak) → application-layer HTTP/2 flood → 18-hour service degradation,BlackCat/ALPHV,confirmed,,,"manufacturing_OT,file_servers,email,website,payment_systems",,https://www.edpb.europa.eu/decisions/2024/12/INQ-2024-00161,,gdpr_notification,1,89.32,Gold,,2243720.54,estimated,,,,2473988.06,504459.62,,,5222168.22,estimated,3986122.78,6115047.08,5335177.74,CPI-U 2024 (314.69),,,,,,,,,,,,,,,,,,,,,,,,,,,Retail Trade
2025-1226-001,CastComponent Industrial Group SA,89373233.0,FR,31-33,,284,False,,2025-12-26,True,2026-02-24,2026-03-11,apt,,Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,FIN7,probable,49243.0,health,"active_directory,cloud_infrastructure,payment_systems",148.94,https://www.aepd.es/decisions/2025/04/INQ-2025-00162,,gdpr_notification,1,81.0,Silver,,5119285.75,disclosed,,,,3553590.95,1633789.43,,2543920.34,10306666.13,disclosed,7308778.6,12240708.21,10306666.13,CPI-U 2025 (321.5),,,,,,,,,,,,,,,,,,,,,,,,,,,Manufacturing
